title,description,published_date,source,bias_text,label
Budget Fails to Address Rising Inequality,Opposition and economists question welfare cuts.,09-06-2025,The Caravan,left,0
Parliament Discusses Agri Subsidy Budget,Ministers cite data to defend allocations.,26-06-2025,PTI,center,1
Startup India Recognized Globally,Entrepreneurs praise ecosystem reforms.,16-06-2025,OpIndia,right,2
Indian Railways to Modernize 200 Stations,Proposal includes solar-powered terminals.,30-06-2025,Hindustan Times,center,1
Election Commission Releases Final Voter Turnout,High participation recorded in key states.,18-06-2025,Mint,center,1
Kashmir Sees Record Tourist Footfall,Ministry says scrapping Article 370 worked.,17-06-2025,Jagran,right,2
Army Hailed for Balakot Strike Anniversary,Officials call it a day of national pride.,28-06-2025,Republic TV,right,2
Budget Session to Focus on Rural Jobs,Ruling and opposition clash over allocations.,11-06-2025,Times of India,center,1
Police to Use Facial Recognition in Protests,Critics allege surveillance overreach.,20-06-2025,NewsX,right,2
Triple Talaq Ban Empowered Muslim Women,Government claims it ended injustice.,18-06-2025,Organiser,right,2
"Social Media Must Follow Indian Culture, Says Minister",Debate rises over regulation.,01-06-2025,NewsX,right,2
State Governments Call for More GST Compensation,Finance ministers to meet this week.,26-06-2025,Hindustan Times,center,1
Tribal Land Rights Bill Faces Delays in Parliament,Activists blame corporate lobbying and government inaction.,15-06-2025,The Wire,left,0
India Ranks 5th in Global GDP List,IMF figures indicate positive trajectory.,26-06-2025,PTI,center,1
Centre Rolls Out Nationalism Curriculum in Schools,Education board says it fosters patriotic values.,12-06-2025,Swarajya,right,2
Supreme Court Urged to Revisit Sedition Law,Petitions say it violates free speech rights.,18-06-2025,Newslaundry,left,0
Lok Sabha Adjourned Amid Ruckus,Opposition demands debate on fuel prices.,11-06-2025,Times of India,center,1
"Women's Safety Still a Distant Dream, Says Study",Reports show lack of implementation in gender-based violence laws.,07-06-2025,Alt News,left,0
COVID Protocols Extended in Select States,Decision based on caseload.,09-06-2025,Business Standard,center,1
Government’s Silence on Lynching Cases Questioned,Civil society demands accountability in hate crimes.,06-06-2025,Alt News,left,0
Kashmiri Students Expelled Over Social Media Posts,Universities accused of bias and suppression.,15-06-2025,NDTV,left,0
Budget Fails to Address Rising Inequality,Opposition and economists question welfare cuts.,09-06-2025,Scroll.in,left,0
Budget Fails to Address Rising Inequality,Opposition and economists question welfare cuts.,15-06-2025,The Caravan,left,0
Centre Plans Hindu Pilgrimage Circuit,Initiative expected to boost spiritual tourism.,07-06-2025,NewsX,right,2
"Media Must Act Responsibly, Says Minister",Remarks come after fake news surge.,20-06-2025,Zee News,right,2
Supreme Court Begins Hearings on Electoral Bonds,Public interest petitions raise concerns.,25-06-2025,Indian Express,center,1
"Women's Safety Still a Distant Dream, Says Study",Reports show lack of implementation in gender-based violence laws.,27-06-2025,The Hindu,left,0
Health Ministry Reviews Vaccine Booster Uptake,Experts discuss rollout efficiency.,27-06-2025,Hindustan Times,center,1
Army Hailed for Balakot Strike Anniversary,Officials call it a day of national pride.,18-06-2025,Republic TV,right,2
Tougher Anti-Conversion Laws Passed in MP,Ruling party defends it as protection of faith.,01-07-2025,NewsX,right,2
COVID Protocols Extended in Select States,Decision based on caseload.,08-06-2025,Mint,center,1
Disability Pension Budget Slashed,Critics say social justice is being undermined.,16-06-2025,Alt News,left,0
CAA Ensures Safety of Persecuted Minorities,Supporters say law is misrepresented by critics.,29-06-2025,Zee News,right,2
Public Sector Banks Report Improved NPAs,Quarterly data shows recovery signs.,15-06-2025,Business Standard,center,1
Temple Priests Included in State Pensions,Ruling party says it’s long overdue.,07-06-2025,Swarajya,right,2
RBI Keeps Repo Rate Unchanged,Monetary policy committee evaluates inflation trends.,24-06-2025,Hindustan Times,center,1
Census Digitization Project Delayed,Govt cites logistical challenges.,10-06-2025,Mint,center,1
Supreme Court Urged to Revisit Sedition Law,Petitions say it violates free speech rights.,22-06-2025,The Wire,left,0
FIR Filed Against Environmental NGO,Critics say it’s an attempt to silence activism.,28-06-2025,NDTV,left,0
Disability Pension Budget Slashed,Critics say social justice is being undermined.,21-06-2025,The Wire,left,0
Fund Allocated to Cow Protection Schemes,Govt defends it as agro-economic support.,09-06-2025,Swarajya,right,2
Fund Allocated to Cow Protection Schemes,Govt defends it as agro-economic support.,09-06-2025,OpIndia,right,2
Budget Session to Focus on Rural Jobs,Ruling and opposition clash over allocations.,25-06-2025,Times of India,center,1
Kashmiri Students Expelled Over Social Media Posts,Universities accused of bias and suppression.,11-06-2025,Scroll.in,left,0
Labor Rights Violated in New Wage Code,Left-leaning unions plan nationwide strike.,12-06-2025,The Caravan,left,0
Tribal Land Rights Bill Faces Delays in Parliament,Activists blame corporate lobbying and government inaction.,23-06-2025,The Caravan,left,0
Public Sector Banks Report Improved NPAs,Quarterly data shows recovery signs.,29-06-2025,Mint,center,1
Public Sector Banks Report Improved NPAs,Quarterly data shows recovery signs.,12-06-2025,Mint,center,1
Tribal Land Rights Bill Faces Delays in Parliament,Activists blame corporate lobbying and government inaction.,03-06-2025,Newslaundry,left,0
NITI Aayog Pushes for AI in Governance,Panel calls for ethical implementation.,24-06-2025,Times of India,center,1
NREGA Workers Protest Delayed Payments,Rural families demand better treatment.,16-06-2025,The Wire,left,0
Refugees Face Statelessness Under New Policy,UN says new rules violate humanitarian principles.,26-06-2025,The Hindu,left,0
Startup India Recognized Globally,Entrepreneurs praise ecosystem reforms.,14-06-2025,NewsX,right,2
Police to Use Facial Recognition in Protests,Critics allege surveillance overreach.,06-06-2025,Jagran,right,2
Fund Allocated to Cow Protection Schemes,Govt defends it as agro-economic support.,30-06-2025,Zee News,right,2
Censorship on OTT Platforms Draws Ire,Artists say creative freedom is under attack.,08-06-2025,NDTV,left,0
NREGA Workers Protest Delayed Payments,Rural families demand better treatment.,02-06-2025,NDTV,left,0
Govt Launches Scheme to Reclaim Temple Lands,Ministers say it corrects historical wrongs.,12-06-2025,NewsX,right,2
Labour Ministry Plans Skill Mapping for Migrants,Survey to launch in 10 states.,10-06-2025,Mint,center,1
Labour Ministry Plans Skill Mapping for Migrants,Survey to launch in 10 states.,29-06-2025,Mint,center,1
Minority Colleges Decry Fund Cuts,Secular groups call it an attack on inclusive education.,12-06-2025,Alt News,left,0
"Women's Safety Still a Distant Dream, Says Study",Reports show lack of implementation in gender-based violence laws.,17-06-2025,Scroll.in,left,0
Dalit Youths Detained During Peaceful Protest in UP,"Human rights groups condemn police action, citing rising suppression of dissent.",22-06-2025,Alt News,left,0
Budget Fails to Address Rising Inequality,Opposition and economists question welfare cuts.,15-06-2025,Newslaundry,left,0
Censorship on OTT Platforms Draws Ire,Artists say creative freedom is under attack.,26-06-2025,Newslaundry,left,0
IMD Predicts Normal Monsoon,Farmers hopeful after dry spell.,15-06-2025,Indian Express,center,1
Stricter Border Control Policies Introduced,Govt defends move as national security need.,02-06-2025,NewsX,right,2
Labour Ministry Plans Skill Mapping for Migrants,Survey to launch in 10 states.,03-06-2025,Mint,center,1
NREGA Workers Protest Delayed Payments,Rural families demand better treatment.,19-06-2025,Newslaundry,left,0
"India, UK Continue FTA Talks",Trade analysts expect gradual progress.,01-06-2025,Mint,center,1
Stricter Border Control Policies Introduced,Govt defends move as national security need.,14-06-2025,Zee News,right,2
"Critics of Govt Are ‘Anti-India’, Says MP",Statement draws mixed reactions.,04-06-2025,OpIndia,right,2
Centre Eases Drone Policy for Startups,Tech firms welcome move.,11-06-2025,Hindustan Times,Center,1
Centre Rolls Out Nationalism Curriculum in Schools,Education board says it fosters patriotic values.,08-06-2025,OpIndia,right,2
"Farmers Slam MSP Delay, Blame Govt for Ignoring Demands",Farmer unions resume agitation across northern states.,15-06-2025,Alt News,left,0
Online Gambling Ban Welcomed by Parents,Right-wing think tanks applaud moral step.,08-06-2025,Zee News,right,2
NITI Aayog Pushes for AI in Governance,Panel calls for ethical implementation.,24-06-2025,Times of India,center,1
India Ranks 5th in Global GDP List,IMF figures indicate positive trajectory.,24-06-2025,Business Standard,center,1
Army Hailed for Balakot Strike Anniversary,Officials call it a day of national pride.,08-06-2025,Jagran,right,2
Whistleblowers Face Reprisal,Transparency International cites India as high-risk.,06-06-2025,Scroll.in,left,0
RBI Keeps Repo Rate Unchanged,Monetary policy committee evaluates inflation trends.,20-06-2025,Business Standard,center,1
Stricter Border Control Policies Introduced,Govt defends move as national security need.,16-06-2025,Organiser,right,2
NCERT Textbooks Updated With 'True History',Govt says changes ensure cultural pride.,29-06-2025,Zee News,right,2
India's Global Standing Grows Under New Foreign Policy,Analysts credit strong leadership and defense deals.,09-06-2025,OpIndia,right,2
NCERT Textbooks Updated With 'True History',Govt says changes ensure cultural pride.,26-06-2025,OpIndia,right,2
School Textbooks Revised to Remove Dalit Voices,Academics warn of historical erasure.,09-06-2025,The Caravan,left,0
Supreme Court Begins Hearings on Electoral Bonds,Public interest petitions raise concerns.,02-06-2025,PTI,center,1
Population Control Bill Introduced,Policy aims at national development.,11-06-2025,OpIndia,right,2
Dalit Youths Detained During Peaceful Protest in UP,"Human rights groups condemn police action, citing rising suppression of dissent.",26-06-2025,Alt News,left,0
Metro Rail Expands to Tier-2 Cities,Urban mobility set for boost.,04-06-2025,PTI,center,1
Centre Rolls Out Nationalism Curriculum in Schools,Education board says it fosters patriotic values.,27-06-2025,Jagran,right,2
Indian Railways to Modernize 200 Stations,Proposal includes solar-powered terminals.,12-06-2025,PTI,center,1
Disability Pension Budget Slashed,Critics say social justice is being undermined.,01-06-2025,The Hindu,left,0
Centre Rolls Out Nationalism Curriculum in Schools,Education board says it fosters patriotic values.,21-06-2025,Zee News,right,2
Flood Relief Operations Underway in Assam,Rescue teams deployed across districts.,28-06-2025,Times of India,center,1
Police to Use Facial Recognition in Protests,Critics allege surveillance overreach.,05-06-2025,Republic TV,right,2
School Textbooks Revised to Remove Dalit Voices,Academics warn of historical erasure.,26-06-2025,Alt News,left,0
Police to Use Facial Recognition in Protests,Critics allege surveillance overreach.,24-06-2025,Organiser,right,2
Centre Plans Hindu Pilgrimage Circuit,Initiative expected to boost spiritual tourism.,18-06-2025,Swarajya,right,2
Kashmir Sees Record Tourist Footfall,Ministry says scrapping Article 370 worked.,30-06-2025,Zee News,right,2
State Governments Call for More GST Compensation,Finance ministers to meet this week.,01-07-2025,Times of India,center,1
"India, UK Continue FTA Talks",Trade analysts expect gradual progress.,14-06-2025,Business Standard,center,1
Kashmiri Students Expelled Over Social Media Posts,Universities accused of bias and suppression.,25-06-2025,The Hindu,left,0
Metro Rail Expands to Tier-2 Cities,Urban mobility set for boost.,12-06-2025,PTI,center,1
Indian Railways to Modernize 200 Stations,Proposal includes solar-powered terminals.,02-06-2025,Business Standard,center,1
Temple Priests Included in State Pensions,Ruling party says it’s long overdue.,09-06-2025,Republic TV,right,2
"Critics of Govt Are ‘Anti-India’, Says MP",Statement draws mixed reactions.,29-06-2025,NewsX,right,2
Power Demand Hits Record High,Energy ministry seeks grid stability.,22-06-2025,Mint,center,1
Delhi Sees Improvement in Air Quality,Authorities credit weather and regulation.,27-06-2025,Hindustan Times,center,1
"Farmers Slam MSP Delay, Blame Govt for Ignoring Demands",Farmer unions resume agitation across northern states.,05-06-2025,The Wire,left,0
Metro Rail Expands to Tier-2 Cities,Urban mobility set for boost.,05-06-2025,Times of India,center,1
Kashmiri Students Expelled Over Social Media Posts,Universities accused of bias and suppression.,22-06-2025,The Hindu,left,0
Election Commission Releases Final Voter Turnout,High participation recorded in key states.,11-06-2025,Times of India,center,1
Centre Rolls Out Nationalism Curriculum in Schools,Education board says it fosters patriotic values.,29-06-2025,Organiser,right,2
Government’s Silence on Lynching Cases Questioned,Civil society demands accountability in hate crimes.,14-06-2025,The Wire,left,0
Tougher Anti-Conversion Laws Passed in MP,Ruling party defends it as protection of faith.,04-06-2025,OpIndia,right,2
Indian Railways to Modernize 200 Stations,Proposal includes solar-powered terminals.,18-06-2025,Business Standard,center,1
Student Body Protests NEP 2020,They claim the policy promotes privatization of education.,03-06-2025,The Caravan,left,0
Lok Sabha Adjourned Amid Ruckus,Opposition demands debate on fuel prices.,29-06-2025,PTI,center,1
Metro Rail Expands to Tier-2 Cities,Urban mobility set for boost.,18-06-2025,PTI,center,1
Indian Railways to Modernize 200 Stations,Proposal includes solar-powered terminals.,17-06-2025,Times of India,center,1
"Citizenship Linked to Loyalty, Not Birth",Leaders back stricter verification norms.,27-06-2025,Republic TV,right,2
Flood Relief Operations Underway in Assam,Rescue teams deployed across districts.,26-06-2025,Mint,center,1
Government’s Silence on Lynching Cases Questioned,Civil society demands accountability in hate crimes.,26-06-2025,Alt News,left,0
Tribal Land Rights Bill Faces Delays in Parliament,Activists blame corporate lobbying and government inaction.,26-06-2025,Scroll.in,left,0
Flood Relief Operations Underway in Assam,Rescue teams deployed across districts.,19-06-2025,Indian Express,center,1
ISRO Announces Launch Date for Gaganyaan,India prepares for crewed space mission.,04-06-2025,Times of India,center,1
Centre Plans Hindu Pilgrimage Circuit,Initiative expected to boost spiritual tourism.,10-06-2025,Republic TV,right,2
"Social Media Must Follow Indian Culture, Says Minister",Debate rises over regulation.,23-06-2025,Organiser,Right,2
NREGA Workers Protest Delayed Payments,Rural families demand better treatment.,08-06-2025,The Caravan,left,0
Flood Relief Operations Underway in Assam,Rescue teams deployed across districts.,26-06-2025,Times of India,center,1
Centre Eases Drone Policy for Startups,Tech firms welcome move.,22-06-2025,Indian Express,center,1
Health Ministry Reviews Vaccine Booster Uptake,Experts discuss rollout efficiency.,14-06-2025,PTI,center,1
Labor Rights Violated in New Wage Code,Left-leaning unions plan nationwide strike.,08-06-2025,The Caravan,left,0
Disability Pension Budget Slashed,Critics say social justice is being undermined.,10-06-2025,Scroll.in,left,0
Power Demand Hits Record High,Energy ministry seeks grid stability.,01-07-2025,Times of India,center,1
Police to Use Facial Recognition in Protests,Critics allege surveillance overreach.,04-06-2025,NewsX,right,2
NREGA Workers Protest Delayed Payments,Rural families demand better treatment.,10-06-2025,Scroll.in,left,0
"India, UK Continue FTA Talks",Trade analysts expect gradual progress.,28-06-2025,Times of India,center,1
Army Hailed for Balakot Strike Anniversary,Officials call it a day of national pride.,18-06-2025,OpIndia,right,2
Public Sector Banks Report Improved NPAs,Quarterly data shows recovery signs.,06-06-2025,PTI,center,1
Centre Eases Drone Policy for Startups,Tech firms welcome move.,22-06-2025,Business Standard,center,1
Tougher Anti-Conversion Laws Passed in MP,Ruling party defends it as protection of faith.,21-06-2025,Zee News,right,2
India's Global Standing Grows Under New Foreign Policy,Analysts credit strong leadership and defense deals.,12-06-2025,Organiser,right,2
Education Ministry Unveils Online Learning Guidelines,Focus on hybrid mode for all levels.,27-06-2025,Hindustan Times,center,1
Temple Priests Included in State Pensions,Ruling party says it’s long overdue.,20-06-2025,NewsX,right,2
Tougher Anti-Conversion Laws Passed in MP,Ruling party defends it as protection of faith.,20-06-2025,OpIndia,right,2
Fund Allocated to Cow Protection Schemes,Govt defends it as agro-economic support.,15-06-2025,OpIndia,right,2
Media Under Pressure as Journalists Face Legal Threats,Independent reporters allege growing censorship from authorities.,25-06-2025,The Hindu,left,0
Budget Fails to Address Rising Inequality,Opposition and economists question welfare cuts.,20-06-2025,The Wire,left,0
Kashmir Sees Record Tourist Footfall,Ministry says scrapping Article 370 worked.,13-06-2025,Republic TV,right,2
Refugees Face Statelessness Under New Policy,UN says new rules violate humanitarian principles.,27-06-2025,The Hindu,left,0
